package,package_url,version,identity,identity_url,title,status,fmm,wg,date,realm,auth
ihe.pharm.supply,https://build.fhir.org/ig/IHE/pharm-supply/,R5,StructureDefinition/IHEInventoryStatus,/xig/resource/ihe.pharm.supply%7Ccurrent/StructureDefinition/IHEInventoryStatus,Inventory Report,active,NA,NA,NA,uv,ihe
ihe.pharm.supply,https://build.fhir.org/ig/IHE/pharm-supply/,R5,StructureDefinition/IHEInventoryUpdate,/xig/resource/ihe.pharm.supply%7Ccurrent/StructureDefinition/IHEInventoryUpdate,Inventory Update,active,NA,NA,NA,uv,ihe
MyHIE.v4-test,NA,R4,StructureDefinition/Invoice-my-core,/xig/resource/MyHIE.v4-test%7C2.1.0-alpha/StructureDefinition/Invoice-my-core,Invoice (MY Core),active,NA,NA,NA,NA,NA
de.abda.eRezeptAbgabedaten,NA,R4,StructureDefinition/DAV-PR-ERP-Abrechnungszeilen,/xig/resource/de.abda.eRezeptAbgabedaten%7C1.0.0/StructureDefinition/DAV-PR-ERP-Abrechnungszeilen,DAV_PR_ERP_Abrechnungszeilen,active,NA,NA,NA,NA,NA
de.abda.eRezeptAbgabedaten,NA,R4,StructureDefinition/DAV-PR-ERP-ZusatzdatenEinheit,/xig/resource/de.abda.eRezeptAbgabedaten%7C1.0.0/StructureDefinition/DAV-PR-ERP-ZusatzdatenEinheit,DAV_PR_ERP_ZusatzdatenEinheit,active,NA,NA,NA,NA,NA
sappatientmanagement.sap_ish_r4_gen,NA,R4,StructureDefinition/NFHIR_Invoice_R4G,/xig/resource/sappatientmanagement.sap_ish_r4_gen%7C2.0.5/StructureDefinition/NFHIR_Invoice_R4G,GenericInvoice,active,NA,NA,NA,NA,NA
de.abda.eRezeptAbgabedatenBasis,NA,R4,StructureDefinition/DAV-PR-Base-Abrechnungszeilen,/xig/resource/de.abda.eRezeptAbgabedatenBasis%7C1.1.0-rc1/StructureDefinition/DAV-PR-Base-Abrechnungszeilen,DAV_PR_Base_Abrechnungszeilen,draft,NA,NA,NA,NA,NA
de.abda.eRezeptAbgabedatenBasis,NA,R4,StructureDefinition/DAV-PR-Base-ZusatzdatenEinheit,/xig/resource/de.abda.eRezeptAbgabedatenBasis%7C1.1.0-rc1/StructureDefinition/DAV-PR-Base-ZusatzdatenEinheit,DAV_PR_Base_ZusatzdatenEinheit,draft,NA,NA,NA,NA,NA
IdHIE.0v,NA,R4,StructureDefinition/Invoice-id-core,/xig/resource/IdHIE.0v%7C0.0.1/StructureDefinition/Invoice-id-core,Invoice (ID Core),active,NA,NA,NA,NA,NA
de.gematik.dipag,NA,R4,StructureDefinition/dipag-rechnung,/xig/resource/de.gematik.dipag%7C1.0.1/StructureDefinition/dipag-rechnung,Digitale Patientenrechnung Rechnung,active,NA,NA,NA,de,NA
de.abda.eRezeptAbgabedatenPKV,NA,R4,StructureDefinition/DAV-PKV-PR-ERP-Abrechnungszeilen,/xig/resource/de.abda.eRezeptAbgabedatenPKV%7C1.1.0-rc1/StructureDefinition/DAV-PKV-PR-ERP-Abrechnungszeilen,DAV_PKV_PR_ERP_Abrechnungszeilen,draft,NA,NA,NA,NA,NA
de.abda.eRezeptAbgabedatenPKV,NA,R4,StructureDefinition/DAV-PKV-PR-ERP-ZusatzdatenEinheit,/xig/resource/de.abda.eRezeptAbgabedatenPKV%7C1.1.0-rc1/StructureDefinition/DAV-PKV-PR-ERP-ZusatzdatenEinheit,DAV_PKV_PR_ERP_ZusatzdatenEinheit,draft,NA,NA,NA,NA,NA
signal.core.r4,NA,R4,StructureDefinition/signal-invoice,/xig/resource/signal.core.r4%7C0.2.10/StructureDefinition/signal-invoice,Invoice,draft,NA,NA,NA,us,hl7
de.gematik.erg,NA,R4,StructureDefinition/erg-rechnung,/xig/resource/de.gematik.erg%7C1.1.0-rc2/StructureDefinition/erg-rechnung,ERG Rechnung,active,NA,NA,NA,de,NA
de.biv-ot.everordnungabgabedaten,NA,R4,StructureDefinition/BIV-PR-ERP-Abrechnungszeilen,/xig/resource/de.biv-ot.everordnungabgabedaten%7C0.1.0-preview/StructureDefinition/BIV-PR-ERP-Abrechnungszeilen,BIV_PR_ERP_Abrechnungszeilen,draft,NA,NA,NA,NA,NA
