"package_id","realm","fhir_version","name","country","category","description"
"hl7.fhir.us.cancer-reporting","US","4.0.1","Sharing eCC Data from Pathology Labs to EHR","us","Diagnostics","Integrating the Healthcare Enterprise (IHE) Structured Data Capture (SDC) on FHIR uses a form-driven workflow to capture and transmit encoded data by creating FHIR Observations. The primary use case for this is transmitting data captured in College of American Pathologists electronic Cancer Checklists (eCCs), which are distributed as IHE SDC templates."
"hl7.fhir.us.military-service","US","4.0.1","HL7 FHIR Implementation Guide for Military Service History and Status","us","Clinical Observations","Supports Military Service History and Status reporting consistent with US regulatory requirements (i.e. Title 38 Veteran Benefits)"
"hl7.fhir.us.covid19library","US","4.0.1","Logica COVID-19 FHIR Profile Library IG","us","Medication / Immunization","Support for exchanges of COVD-19 Patient Specific Data."
"hl7.fhir.us.davinci-pct","US","4.0.1","Da Vinci Patient Cost Transparency Implementation Guide","us","Financial","Enables standard exchange of healthcare cost for items, services, and collection of services among stakeholders such as payers, providers, and patients in support of driving transparency for patients with accurate, timely access to cost of medical care prior to delivery of care in order to become better stewards of their healthcare dollars.   This guide creates a standard exchange to reduce administrative burden for communicating Good Faith Estimates (GFE) from providers of costs and services to payers and then, payers creating and returning an Advanced Explanation of Benefits (AEOB) back to the patient as required by law."
"hl7.fhir.us.exchange-routing","US","4.0.1","Hybrid / Intermediary Exchange","us","EHR Access","This IG is meant to define the standard for how providers, payers, intermediaries, and other actors will use  routing information about the transaction originator and destination to support a hybrid model of point-to-point interaction as well as intermediary brokered interactions without the actors in either side needing detailed knowledge of how intermediary routing works."
"hl7.fhir.us.pacio-rt","US","4.0.1","PACIO Re-Assessment Timepoints Implementation Guide","us","Clinical Documents","The Re-assessment Timepoints FHIR implementation guide (IG) describes how to create definitions for sub-periods of time within an extended post-acute care (PAC) admission and encounter. "
"hl7.fhir.us.davinci-ra","US","4.0.1","Da Vinci Risk Adjustment FHIR Implementation Guide","us","Financial","Enable standard exchange of risk-based coding gaps among stakeholders such as payers, providers, and government care programs in support of driving towards accurate and complete documentation of health conditions that would lead to more accurate risk-adjustment payment calculations, reduced administrative burden, and improved quality of care."
"hl7.fhir.us.pacio-adi","US","4.0.1","PACIO Advance Directive Information Implementation Guide","us","Clinical Documents","The Advance Directive Interoperability (ADI) with FHIR implementation guide (IG) describes how to represent, exchange, and verify an individual's advance directive information regarding potential future care and treatment in the event the individual is not able to communicate such information directly."
"hl7.fhir.us.insurance-card","US","4.0.1","CARIN Digital Insurance Card","us","Financial","This IG provides a structured approach to take the data elements on an individual consumer’s health insurance card and represent them using FHIR Resources (i.e., a 'Digital Insurance Card' Bundle). The IG also documents patterns to share Digital Insurance Cards via FHIR APIs, SMART Health Cards, and SMART Health Links. This information can be provided by the health insurance company and presented by the member as proof of insurance when interacting with healthcare providers. Eligibility checks are not in the scope of this IG"
"hl7.fhir.us.central-cancer-registry-reporting","US","4.0.1","Making EHR Data MOre available for Research and Public Health (MedMorph) Central Cancer Registry Reporting Content IG","us","Public Health and Research","This guide defines how healthcare organizations onboard a new research data partner. It provides guidance to extract data from EHRs, transform the data, and populate data marts"
"hl7.fhir.us.health-care-surveys-reporting","US","4.0.1","Making EHR Data MOre available for Research and Public Health (MedMorph) Healthcare Surveys Reporting Content IG","us","Public Health and Research","This guide focuses on the National Hospital Care Survey (NHCS) and National Ambulatory Medical Care Survey (NAMCS) data that will be extracted from EHRs and/or clinical data repositories via FHIR and APIs and sent to a system hosted at the federal level."
"hl7.fhir.us.medmorph-research-dex","US","4.0.1","Making EHR Data MOre available for Research and Public Health (MedMorph) Research Content IG","us","Public Health and Research","This guide focuses on the National Hospital Care Survey (NHCS) and National Ambulatory Medical Care Survey (NAMCS) data that will be extracted from EHRs and/or clinical data repositories via FHIR and APIs and sent to a system hosted at the federal level."
"hl7.fhir.us.mdi","US","4.0.1","Medicolegal Death Investigation (MDI)","us","Medication / Immunization","This US-specific IG supports exchange of data for medicolegal death investigations, for example from a toxicology lab to a case management system (upstream), and from a case management system to a  jurisdictional electronic death registration system (EDRS)(downstream)."
"fhir.cqf.common","US","4.0.1","Clinical Quality Framework Common FHIR Assets","us","Quality / CDS","This implementation guide contains common FHIR assets for use in CQFramework content IGs, including FHIRHelpers and the FHIR-ModelInfo libraries"
